Time [s],Packet ID,MOSI,MISO
0.000002166666667,0,0x07,0x0E
0.000037833333333,0,0x00,0x0E
0.000085000000000,1,0x20,0x0E
0.000120666666667,1,0x0C,0x00
0.000167833333333,2,0x21,0x0E
0.000203500000000,2,0x00,0x00
0.000250666666667,3,0x22,0x0E
0.000286333333333,3,0x3F,0x00
0.000333416666667,4,0x23,0x0E
0.000369166666667,4,0x03,0x00
0.000416250000000,5,0x24,0x0E
0.000451916666667,5,0xFF,0x00
0.000499083333333,6,0x25,0x0E
0.000534750000000,6,0x08,0x00
0.000581916666667,7,0x26,0x0E
0.000617583333333,7,0x27,0x00
0.000664750000000,8,0x27,0x0E
0.000700416666667,8,0x70,0x00
0.000747500000000,9,0x28,0x0E
0.000783166666667,9,0x00,0x00
0.000830333333333,10,0x29,0x0E
0.000866000000000,10,0x00,0x00
0.000913166666667,11,0x2C,0x0E
0.000948833333333,11,0xC3,0x00
0.000996000000000,12,0x2D,0x0E
0.001031666666667,12,0xC4,0x00
0.001078750000000,13,0x2E,0x0E
0.001114500000000,13,0xC5,0x00
0.001161583333333,14,0x2F,0x0E
0.001197250000000,14,0xC6,0x00
0.001244416666667,15,0x31,0x0E
0.001280083333333,15,0x0A,0x00
0.001327250000000,16,0x32,0x0E
0.001362916666667,16,0x0A,0x00
0.001410083333333,17,0x33,0x0E
0.001445750000000,17,0x0A,0x00
0.001492916666667,18,0x34,0x0E
0.001528583333333,18,0x0A,0x00
0.001575666666667,19,0x35,0x0E
0.001611416666667,19,0x0A,0x00
0.001658500000000,20,0x36,0x0E
0.001694166666667,20,0x0A,0x00
0.001741333333333,21,0x37,0x0E
0.001777000000000,21,0x00,0x00
0.001818416666667,22,0x30,0x0E
0.001854833333333,22,0xAB,0x00
0.001891500000000,22,0xAC,0x00
0.001928166666667,22,0xAD,0x00
0.001964916666667,22,0xAE,0x00
0.002001583333333,22,0xAF,0x00
0.002039750000000,23,0x07,0x0E
0.002075416666667,23,0x00,0x0E
